台股 ETF 分類總覽（115年03月）　共 333 檔,,,,
市值型：76檔　　高股息：34檔　　主題型：72檔　　債券型：104檔　　槓桿型：41檔　　商品/期貨型：6檔,,,,
類別,市場別,證券代號,證券簡稱,類別說明
債券型,上櫃,00856B,永豐1-3年美公債,
債券型,上櫃,00857B,永豐20年美公債,
債券型,上櫃,00859B,群益0-1年美債,
債券型,上櫃,00860B,群益1-5Y投資級債,
債券型,上櫃,00862B,中信投資級公司債,
債券型,上櫃,00863B,中信全球電信債,
債券型,上櫃,00864B,中信美國公債0-1,
債券型,上櫃,00867B,新光A-BBB電信債,
債券型,上櫃,00870B,元大15年EM主權債,
債券型,上櫃,00883B,中信ESG投資級債,
債券型,上櫃,00884B,中信低碳新興債,
債券型,上櫃,00890B,凱基ESG BBB債15+,
債券型,上櫃,00931B,統一美債20年,
債券型,上櫃,00933B,國泰10Y+金融債,
債券型,上櫃,00937B,群益ESG投等債20+,
債券型,上櫃,00942B,台新美A公司債20+,
債券型,上櫃,00948B,中信優息投資級債,
債券型,上櫃,00950B,凱基A級公司債,
債券型,上櫃,00957B,兆豐US優選投等債,
債券型,上櫃,00958B,永豐ESG銀行債15+,
債券型,上櫃,00959B,大華投等美債15Y+,
債券型,上櫃,00966B,統一ESG投等債15+,
債券型,上櫃,00967B,元大優息美債,
債券型,上櫃,00968B,元大優息投等債,
債券型,上櫃,00969B,元大零息超長美債,
債券型,上櫃,00970B,新光BBB投等債20+,
債券型,上櫃,00980B,台新特選IG債10+,
債券型,上櫃,00981B,第一金優選非投債,
債券型,上櫃,00981D,主動中信非投等債,
債券型,上櫃,00982B,FT投資級債20+,
債券型,上櫃,00983B,大華優利美公債20,
債券型,上櫃,00984B,大華優利美A債15,
債券型,上櫃,00986B,FT金融債10+,
債券型,上櫃,00987B,野村10+澳洲公債,
債券型,上櫃,00988B,玉山嚴選非投債,
債券型,上櫃,00989B,台新美國非投等債,
債券型,上市,00710B,復華彭博非投等債,
債券型,上市,00711B,復華彭博新興債,
債券型,上市,00775B,新光投等債15+,
債券型,上市,00865B,國泰US短期公債,
債券型,上市,00945B,凱基美國非投等債,
債券型,上市,00953B,群益優選非投等債,
債券型,上市,00985B,群益ESG投等債0-5,
槓桿型,上市,00631L,元大台灣50正2,利用衍生工具放大日報酬倍數（正2倍）或反向操作，高風險短期工具
槓桿型,上市,00632R,元大台灣50反1,
槓桿型,上市,00633L,富邦上証正2,
槓桿型,上市,00634R,富邦上証反1,
槓桿型,上市,00637L,元大滬深300正2,
槓桿型,上市,00638R,元大滬深300反1,
槓桿型,上市,00640L,富邦日本正2,
槓桿型,上市,00641R,富邦日本反1,
槓桿型,上市,00647L,元大S&P500正2,
槓桿型,上市,00648R,元大S&P500反1,
槓桿型,上市,00650L,復華香港正2,
槓桿型,上市,00651R,復華香港反1,
槓桿型,上市,00655L,國泰中國A50正2,
槓桿型,上市,00656R,國泰中國A50反1,
槓桿型,上市,00653L,富邦印度正2,
槓桿型,上市,00654R,富邦印度反1,
槓桿型,上市,00663L,國泰臺灣加權正2,
槓桿型,上市,00664R,國泰臺灣加權反1,
槓桿型,上市,00665L,富邦恒生國企正2,
槓桿型,上市,00666R,富邦恒生國企反1,
槓桿型,上市,00675L,富邦臺灣加權正2,
槓桿型,上市,00676R,富邦臺灣加權反1,
槓桿型,上市,00673R,期元大S&P原油反1,
槓桿型,上市,00674R,期元大S&P黃金反1,
槓桿型,上市,00669R,國泰美國道瓊反1,
槓桿型,上市,00680L,元大美債20正2,
槓桿型,上市,00681R,元大美債20反1,
槓桿型,上市,00670L,富邦NASDAQ正2,
槓桿型,上市,00671R,富邦NASDAQ反1,
槓桿型,上市,00683L,期元大美元指正2,
槓桿型,上市,00684R,期元大美元指反1,
槓桿型,上市,00685L,群益臺灣加權正2,
槓桿型,上市,00686R,群益臺灣加權反1,
槓桿型,上市,00688L,國泰20年美債正2,
槓桿型,上市,00689R,國泰20年美債反1,
槓桿型,上市,00706L,期元大S&P日圓正2,
槓桿型,上市,00707R,期元大S&P日圓反1,
槓桿型,上市,00708L,期元大S&P黃金正2,
槓桿型,上市,00715L,期街口布蘭特正2,
槓桿型,上市,00753L,中信中國50正2,
槓桿型,上市,00852L,國泰美國道瓊正2,
期貨型,上市,00635U,期元大S&P黃金,追蹤黃金、石油、白銀、銅等大宗商品或外匯指數期貨
期貨型,上市,00642U,期元大S&P石油,
期貨型,上市,00682U,期元大美元指數,
期貨型,上市,00693U,期街口S&P黃豆,
期貨型,上市,00738U,期元大道瓊白銀,
期貨型,上市,00763U,期街口道瓊銅,
